"genes"	"logFC"	"p_value"	"q_value"
"12800"	"LSM10"	0.0330701	0.9721	0.99948
"12801"	"LSM11"	0.780967	0.38455	0.99948
"12802"	"LSM12"	0.264931	0.8898	0.99948
"12803"	"LSM14A"	0.226495	0.747	0.99948
"12804"	"LSM14B"	-1.74535	0.1568	0.893612
"12805"	"LSM2"	1.28186	0.12325	0.818016
"12806"	"LSM3"	0.624144	0.59945	0.99948
"12807"	"LSM4"	-0.258907	0.8371	0.99948
"12808"	"LSM5"	-1.20067	0.27915	0.99948
"12809"	"LSM6"	2.31464	0.03135	0.418941
"12810"	"LSM7"	-4.52832	0.00015	0.0107577
"12811"	"LSM8"	-0.378525	0.727	0.99948
"12812"	"LSMEM1"	-1.2121	0.2444	0.991344
"12813"	"LSMEM2"	-797.519	1	1
"12814"	"LSP1"	-0.428316	0.52735	0.99948
"12815"	"LSP1P3"	-1.69367	1	1
"12816"	"LSR"	0.492218	0.75335	0.99948
"12817"	"LSS"	-0.708982	0.5236	0.99948
"12818"	"LST1"	-0.678401	0.4852	0.99948
"12819"	"LTA"	1.22813	0.31755	0.99948
"12820"	"LTA4H"	0.0480511	0.94945	0.99948
"12821"	"LTB"	1.64801	0.27815	0.99948
"12822"	"LTB4R"	0.167452	0.8737	0.99948
"12823"	"LTB4R2"	-0.962334	1	1
"12824"	"LTBP1"	0.0173912	1	1
"12825"	"LTBP2"	-1.40693	0.25505	0.996738
"12826"	"LTBP3"	0.879212	0.5852	0.99948
"12827"	"LTBP4"	-0.294653	0.78085	0.99948
"12828"	"LTBR"	0.0198278	0.9884	0.99948
"12829"	"LTC4S"	0	1	1
"12830"	"LTF"	-3.96357	0.02525	0.369865
"12831"	"LTK"	768.314	1	1
"12832"	"LTN1"	-0.384761	0.78675	0.99948
"12833"	"LTV1"	-0.0713789	0.9513	0.99948
"12834"	"LUC7L"	-0.201882	0.87055	0.99948
"12835"	"LUC7L2"	-0.689352	0.8328	0.99948
"12836"	"LUC7L3"	-0.314267	0.64935	0.99948
"12837"	"LUCAT1"	1.87508	0.056	0.581557
"12838"	"LUM"	0	1	1
"12839"	"LUNAR1"	0	1	1
"12840"	"LURAP1"	0.345898	1	1
"12841"	"LURAP1L"	-1.80648	0.31805	0.99948
"12842"	"LURAP1L-AS1"	-797.519	1	1
"12843"	"LUZP1"	-0.200868	0.92735	0.99948
"12844"	"LUZP2"	-0.410655	1	1
"12845"	"LUZP4"	0	1	1
"12846"	"LUZP6"	0.163854	0.8035	0.99948
"12847"	"LVCAT1"	-797.519	1	1
"12848"	"LVCAT5"	-1.6775	0.0632	0.619471
"12849"	"LVCAT8"	-797.519	0.1179	0.810942
"12850"	"LVRN"	768.314	1	1
"12851"	"LXN"	0.507643	0.83375	0.99948
"12852"	"LY6D"	0.60955	0.4196	0.99948
"12853"	"LY6E"	-0.0670689	0.90435	0.99948
"12854"	"LY6G5B"	0	1	1
"12855"	"LY6G5C"	0.0297302	0.9671	0.99948
"12856"	"LY6G6C"	0	1	1
"12857"	"LY6G6D"	0	1	1
"12858"	"LY6G6E"	0	1	1
"12859"	"LY6G6F"	0	1	1
"12860"	"LY6H"	768.314	1	1
"12861"	"LY6K"	-1.7717	0.36795	0.99948
"12862"	"LY75"	-0.101579	0.94695	0.99948
"12863"	"LY75-CD302"	-0.927175	0.57895	0.99948
"12864"	"LY86"	-2.12927	0.0965	0.756474
"12865"	"LY86-AS1"	0	1	1
"12866"	"LY9"	0.467793	0.69885	0.99948
"12867"	"LY96"	-0.200708	0.883	0.99948
"12868"	"LYAR"	0.270328	0.79665	0.99948
"12869"	"LYG1"	768.314	5e-05	0.00458449
"12870"	"LYG2"	768.314	1	1
"12871"	"LYL1"	0.697716	0.43585	0.99948
"12872"	"LYN"	0.0666329	0.91	0.99948
"12873"	"LYNX1"	1.24175	0.3579	0.99948
"12874"	"LYPD1"	-2.4848	1	1
"12875"	"LYPD2"	0.875959	0.63835	0.99948
"12876"	"LYPD3"	-0.395935	0.7025	0.99948
"12877"	"LYPD4"	1.02172	1	1
"12878"	"LYPD5"	-3.37568	0.4226	0.99948
"12879"	"LYPD6"	1.89362	0.3113	0.99948
"12880"	"LYPD6B"	3.12224	0.0021	0.067606
"12881"	"LYPD8"	0	1	1
"12882"	"LYPLA1"	0.61906	0.48155	0.99948
"12883"	"LYPLA2"	0.510021	0.7712	0.99948
"12884"	"LYPLA2P2"	2.39204	1	1
"12885"	"LYPLAL1"	-1.70273	0.18425	0.937663
"12886"	"LYPLAL1-AS1"	0	1	1
"12887"	"LYRM1"	0.969614	0.4248	0.99948
"12888"	"LYRM2"	0.106728	0.93665	0.99948
"12889"	"LYRM4"	-2.15034	0.08445	0.712953
"12890"	"LYRM5"	-0.968868	0.6353	0.99948
"12891"	"LYRM7"	-0.558929	0.6326	0.99948
"12892"	"LYRM9"	-0.688474	0.4333	0.99948
"12893"	"LYSMD1"	0.0915428	1	1
"12894"	"LYSMD2"	-0.509564	0.63855	0.99948
"12895"	"LYSMD3"	-1.29795	0.3368	0.99948
"12896"	"LYSMD4"	-2.27212	0.122	0.818016
"12897"	"LYST"	0.884905	0.1138	0.804088
"12898"	"LYVE1"	-2.78185	0.44695	0.99948
"12899"	"LYZ"	-0.0262509	0.9634	0.99948
"12900"	"LYZL1"	0	1	1
"12901"	"LYZL2"	0	1	1
"12902"	"LYZL4"	768.314	1	1
"12903"	"LYZL6"	0	1	1
"12904"	"LZIC"	-0.17104	0.85195	0.99948
"12905"	"LZTFL1"	-1.0605	0.40025	0.99948
"12906"	"LZTR1"	-0.714668	0.54445	0.99948
"12907"	"LZTS1"	4.79123	3e-04	0.0171106
"12908"	"LZTS1-AS1"	0	1	1
"12909"	"LZTS2"	2.34515	0.048	0.539469
"12910"	"LZTS3"	0.965475	0.2905	0.99948
"12911"	"M1AP"	1.65316	1	1
"12912"	"M6PR"	-0.615041	0.3735	0.99948
"12913"	"MAATS1"	-3.03826	0.00115	0.0447851
"12914"	"MAB21L1"	768.314	1	1
"12915"	"MAB21L2"	2.28734	0.408	0.99948
"12916"	"MAB21L3"	1.48159	0.265	0.99948
"12917"	"MACC1"	0.404642	0.4645	0.99948
"12918"	"MACC1-AS1"	0	1	1
"12919"	"MACF1"	-0.144351	0.7432	0.99948
"12920"	"MACROD1"	3.89451	0.14125	0.860147
"12921"	"MACROD2"	6.52278	1	1
"12922"	"MACROD2-AS1"	0	1	1
"12923"	"MACROD2-IT1"	0	1	1
"12924"	"MAD1L1"	-0.202713	0.8588	0.99948
"12925"	"MAD2L1"	3.49376	1	1
"12926"	"MAD2L1BP"	2.18517	0.10765	0.789201
"12927"	"MAD2L2"	0.69758	0.54695	0.99948
"12928"	"MADCAM1"	0	1	1
"12929"	"MADD"	0.24905	0.83705	0.99948
"12930"	"MAEA"	0.00873306	0.9934	0.99948
"12931"	"MAEL"	0	1	1
"12932"	"MAF"	0.187388	0.89015	0.99948
"12933"	"MAF1"	-0.977961	0.47815	0.99948
"12934"	"MAFA"	0.75474	0.33795	0.99948
"12935"	"MAFA-AS1"	0	1	1
"12936"	"MAFB"	-0.946208	0.09445	0.750957
"12937"	"MAFF"	0.394288	0.5128	0.99948
"12938"	"MAFG"	0.53777	0.398	0.99948
"12939"	"MAFG-AS1"	4.5345	1	1
"12940"	"MAFIP"	1.32946	0.2109	0.966564
"12941"	"MAFK"	0.988189	0.54795	0.99948
"12942"	"MAFTRR"	0	1	1
"12943"	"MAG"	0	1	1
"12944"	"MAGEA1"	0	1	1
"12945"	"MAGEA10"	0.0749559	1	1
"12946"	"MAGEA10-MAGEA5"	0	1	1
"12947"	"MAGEA11"	0	1	1
"12948"	"MAGEA12"	0	1	1
"12949"	"MAGEA2"	0	1	1
"12950"	"MAGEA2B"	0	1	1
"12951"	"MAGEA3"	0	1	1
"12952"	"MAGEA4"	0	1	1
"12953"	"MAGEA5"	0	1	1
"12954"	"MAGEA6"	0	1	1
"12955"	"MAGEA8"	0	1	1
"12956"	"MAGEA8-AS1"	0	1	1
"12957"	"MAGEA9"	0	1	1
"12958"	"MAGEA9B"	0	1	1
"12959"	"MAGEB1"	0	1	1
"12960"	"MAGEB10"	-3.28426	1	1
"12961"	"MAGEB16"	0	1	1
"12962"	"MAGEB17"	0	1	1
"12963"	"MAGEB18"	0	1	1
"12964"	"MAGEB2"	0	1	1
"12965"	"MAGEB3"	0	1	1
"12966"	"MAGEB4"	0	1	1
"12967"	"MAGEB5"	-797.519	1	1
"12968"	"MAGEB6"	-797.519	1	1
"12969"	"MAGEC1"	0	1	1
"12970"	"MAGEC2"	0	1	1
"12971"	"MAGEC3"	0	1	1
"12972"	"MAGED1"	-0.655826	0.49235	0.99948
"12973"	"MAGED2"	0.0780101	0.94945	0.99948
"12974"	"MAGED4"	-797.519	1	1
"12975"	"MAGED4B"	-797.519	1	1
"12976"	"MAGEE1"	0.0265115	1	1
"12977"	"MAGEE2"	0	1	1
"12978"	"MAGEF1"	2.52857	0.03	0.408085
"12979"	"MAGEH1"	1.55626	0.05625	0.582067
"12980"	"MAGEL2"	0	1	1
"12981"	"MAGI1"	-0.676946	0.6217	0.99948
"12982"	"MAGI1-AS1"	-797.519	1	1
"12983"	"MAGI2"	6.00395	0.18385	0.937663
"12984"	"MAGI2-AS2"	0	1	1
"12985"	"MAGI2-AS3"	0.745625	0.632	0.99948
"12986"	"MAGI3"	0.99573	0.528	0.99948
"12987"	"MAGIX"	-0.929038	0.55915	0.99948
"12988"	"MAGOH"	0.993247	0.50745	0.99948
"12989"	"MAGOH2P"	0	1	1
"12990"	"MAGOHB"	-0.114773	1	1
"12991"	"MAGT1"	0.42346	0.29685	0.99948
"12992"	"MAK"	3.06356	0.00465	0.115946
"12993"	"MAK16"	-0.103485	0.94115	0.99948
"12994"	"MAL"	0.578549	0.5149	0.99948
"12995"	"MAL2"	-0.799359	0.69205	0.99948
"12996"	"MALAT1"	-0.0475921	0.95345	0.99948
"12997"	"MALL"	-0.112646	0.8406	0.99948
"12998"	"MALRD1"	768.314	1	1
"12999"	"MALSU1"	0.76366	0.3534	0.99948
"13000"	"MALT1"	1.00067	0.64915	0.99948
"13001"	"MAMDC2"	-5.45123	1	1
"13002"	"MAMDC2-AS1"	6.55954	1	1
"13003"	"MAMDC4"	0.480478	1	1
"13004"	"MAML1"	0.0517456	0.7652	0.99948
"13005"	"MAML2"	0.37665	0.5259	0.99948
"13006"	"MAML3"	1.01786	0.5087	0.99948
"13007"	"MAMLD1"	-0.0302567	0.9791	0.99948
"13008"	"MAMSTR"	3.02743	0.40995	0.99948
"13009"	"MAN1A1"	-0.124878	0.8069	0.99948
"13010"	"MAN1A2"	-0.289909	0.89275	0.99948
"13011"	"MAN1B1"	-0.0661573	0.9581	0.99948
"13012"	"MAN1B1-AS1"	0.78956	0.32275	0.99948
"13013"	"MAN1C1"	-1.97738	0.06275	0.617567
"13014"	"MAN2A1"	0.174617	0.7884	0.99948
"13015"	"MAN2A2"	0.589782	0.25805	0.99869
"13016"	"MAN2B1"	-0.425709	0.4904	0.99948
"13017"	"MAN2B2"	0.347403	0.75495	0.99948
"13018"	"MAN2C1"	-0.895093	0.44825	0.99948
"13019"	"MANBA"	0.694735	0.43005	0.99948
"13020"	"MANBAL"	0.963996	0.4159	0.99948
"13021"	"MANEA"	-1.52994	0.1052	0.784775
"13022"	"MANEA-AS1"	-0.0847754	1	1
"13023"	"MANEAL"	-1.21962	0.44625	0.99948
"13024"	"MANF"	0.649193	0.61185	0.99948
"13025"	"MANSC1"	1.31167	0.1575	0.895136
"13026"	"MANSC4"	0	1	1
"13027"	"MAOA"	0.241269	0.85325	0.99948
"13028"	"MAOB"	0.204615	0.7985	0.99948
"13029"	"MAP10"	0.00246152	1	1
"13030"	"MAP1A"	-3.05287	0.0026	0.0781456
"13031"	"MAP1B"	-0.52612	1	1
"13032"	"MAP1LC3A"	-0.800131	0.4478	0.99948
"13033"	"MAP1LC3B"	0.695502	0.2628	0.99948
"13034"	"MAP1LC3B2"	0.958836	0.38125	0.99948
"13035"	"MAP1LC3C"	1.0999	0.2257	0.981139
"13036"	"MAP1S"	-1.75984	0.2083	0.963106
"13037"	"MAP2"	0.25418	0.81445	0.99948
"13038"	"MAP2K1"	0.345842	0.55685	0.99948
"13039"	"MAP2K2"	0.307236	0.84655	0.99948
"13040"	"MAP2K3"	0.20029	0.72655	0.99948
"13041"	"MAP2K4"	-0.211839	0.92555	0.99948
"13042"	"MAP2K4P1"	-0.538655	1	1
"13043"	"MAP2K5"	-1.75818	0.2286	0.983277
"13044"	"MAP2K6"	3.80567	1	1
"13045"	"MAP2K7"	-1.25059	0.4783	0.99948
"13046"	"MAP3K1"	-0.835512	0.461	0.99948
"13047"	"MAP3K10"	0.459373	0.5619	0.99948
"13048"	"MAP3K11"	-0.19396	0.81385	0.99948
"13049"	"MAP3K12"	0.223202	0.8927	0.99948
"13050"	"MAP3K13"	1.10881	0.2934	0.99948
"13051"	"MAP3K14"	0.800602	0.5069	0.99948
"13052"	"MAP3K14-AS1"	1.57859	0.608	0.99948
"13053"	"MAP3K15"	4.28547	0.1412	0.860147
"13054"	"MAP3K19"	768.314	1	1
"13055"	"MAP3K2"	-0.111297	0.86325	0.99948
"13056"	"MAP3K3"	0.243597	0.83815	0.99948
"13057"	"MAP3K4"	-0.609793	0.61495	0.99948
"13058"	"MAP3K5"	0.253706	0.9029	0.99948
"13059"	"MAP3K6"	-0.651808	0.5921	0.99948
"13060"	"MAP3K7"	-0.212884	0.8367	0.99948
"13061"	"MAP3K7CL"	-1.86261	0.092	0.741252
"13062"	"MAP3K8"	0.595909	0.58135	0.99948
"13063"	"MAP3K9"	-0.247514	0.83625	0.99948
"13064"	"MAP4"	0.306951	0.61615	0.99948
"13065"	"MAP4K1"	-0.425419	0.6725	0.99948
"13066"	"MAP4K2"	4.13551	0.00605	0.141137
"13067"	"MAP4K3"	0.818085	0.5409	0.99948
"13068"	"MAP4K4"	-0.135654	0.85915	0.99948
"13069"	"MAP4K5"	-0.535418	0.6742	0.99948
"13070"	"MAP6"	0.940743	1	1
"13071"	"MAP6D1"	2.5012	1	1
"13072"	"MAP7"	-0.252874	0.869	0.99948
"13073"	"MAP7D1"	0.382367	0.58715	0.99948
"13074"	"MAP7D2"	768.314	1	1
"13075"	"MAP7D3"	2.98845	0.00265	0.0789929
"13076"	"MAP9"	-5.52904	0.2474	0.994777
"13077"	"MAPK1"	0.432748	0.5235	0.99948
"13078"	"MAPK10"	-1.51925	0.23365	0.986676
"13079"	"MAPK11"	-1.56404	0.3511	0.99948
"13080"	"MAPK12"	1.35881	0.5313	0.99948
"13081"	"MAPK13"	0.169269	0.76705	0.99948
"13082"	"MAPK14"	-0.600584	0.6471	0.99948
"13083"	"MAPK15"	0.856641	1	1
"13084"	"MAPK1IP1L"	0.139219	0.7973	0.99948
"13085"	"MAPK3"	0.245219	0.86845	0.99948
"13086"	"MAPK4"	768.314	1	1
"13087"	"MAPK6"	-0.130425	0.8108	0.99948
"13088"	"MAPK7"	-0.350671	0.74805	0.99948
"13089"	"MAPK8"	-0.474185	0.67565	0.99948
"13090"	"MAPK8IP1"	-0.206581	1	1
"13091"	"MAPK8IP2"	0.314042	1	1
"13092"	"MAPK8IP3"	-0.123139	0.8967	0.99948
"13093"	"MAPK9"	1.05098	0.2933	0.99948
"13094"	"MAPKAP1"	1.48247	0.1649	0.91047
"13095"	"MAPKAPK2"	-0.309791	0.73985	0.99948
"13096"	"MAPKAPK3"	0.729033	0.5792	0.99948
"13097"	"MAPKAPK5"	-0.010577	0.99225	0.99948
"13098"	"MAPKAPK5-AS1"	0.343217	0.8567	0.99948
"13099"	"MAPKBP1"	-0.214108	0.85635	0.99948
"13100"	"MAPRE1"	-0.323781	0.57345	0.99948
"13101"	"MAPRE2"	-0.524046	0.73535	0.99948
"13102"	"MAPRE3"	-4.13569	0.0268	0.383648
"13103"	"MAPT"	-0.887828	0.3971	0.99948
"13104"	"MAPT-AS1"	0	1	1
"13105"	"MAPT-IT1"	768.314	1	1
"13106"	"MARC1"	0.656875	0.4077	0.99948
"13107"	"MARC2"	3.70782	0.00025	0.015028
"13108"	"MARCH1"	0.548319	0.71045	0.99948
"13109"	"MARCH10"	0	1	1
"13110"	"MARCH11"	0	1	1
"13111"	"MARCH2"	-0.95244	0.34635	0.99948
"13112"	"MARCH3"	1.10668	0.37585	0.99948
"13113"	"MARCH4"	-0.263978	1	1
"13114"	"MARCH5"	-0.333738	0.5089	0.99948
"13115"	"MARCH6"	0.0663844	0.91285	0.99948
"13116"	"MARCH7"	-0.177427	0.79085	0.99948
"13117"	"MARCH8"	-0.533274	0.661	0.99948
"13118"	"MARCH9"	-0.725531	0.3758	0.99948
"13119"	"MARCKS"	-0.289821	0.47475	0.99948
"13120"	"MARCKSL1"	0.272708	0.6122	0.99948
"13121"	"MARCO"	-0.116285	0.8534	0.99948
"13122"	"MARK1"	-2.66572	0.16065	0.901021
"13123"	"MARK2"	0.618541	0.56865	0.99948
"13124"	"MARK2P9"	0	1	1
"13125"	"MARK3"	-0.682432	0.64035	0.99948
"13126"	"MARK4"	-0.0134808	0.9907	0.99948
"13127"	"MARS"	-0.256352	0.86455	0.99948
"13128"	"MARS2"	-2.55476	0.00355	0.0968528
"13129"	"MARVELD1"	-1.28226	0.15725	0.894986
"13130"	"MARVELD2"	-1.14881	0.24525	0.993475
"13131"	"MARVELD3"	0.532432	0.53935	0.99948
"13132"	"MAS1"	-0.79404	0.29485	0.99948
"13133"	"MAS1L"	0	1	1
"13134"	"MASP1"	0	1	1
"13135"	"MASP2"	-0.739987	1	1
"13136"	"MAST1"	-0.886837	1	1
"13137"	"MAST2"	-2.27644	0.0461	0.52962
"13138"	"MAST3"	-0.805461	0.63915	0.99948
"13139"	"MAST4"	2.08901	0.158	0.896153
"13140"	"MASTL"	0.116181	0.91535	0.99948
"13141"	"MAT1A"	0	1	1
"13142"	"MAT2A"	0.652965	0.33505	0.99948
"13143"	"MAT2B"	0.601845	0.59825	0.99948
"13144"	"MATK"	0.59928	0.6052	0.99948
"13145"	"MATN1"	-2.8069	1	1
"13146"	"MATN1-AS1"	-797.519	0.1377	0.8496
"13147"	"MATN2"	5.76292	0.17795	0.931046
"13148"	"MATN3"	0	1	1
"13149"	"MATN4"	0	1	1
"13150"	"MATR3"	-0.315891	0.6472	0.99948
"13151"	"MAU2"	0.301625	0.8642	0.99948
"13152"	"MAVS"	-0.718646	0.5207	0.99948
"13153"	"MAX"	0.528914	0.51125	0.99948
"13154"	"MAZ"	0.303609	0.70525	0.99948
"13155"	"MB"	1.09542	0.597	0.99948
"13156"	"MB21D1"	0.641244	0.45405	0.99948
"13157"	"MB21D2"	-0.752416	0.61165	0.99948
"13158"	"MBD1"	1.13123	0.189	0.944327
"13159"	"MBD2"	0.53724	0.39595	0.99948
"13160"	"MBD3"	0.341689	0.7496	0.99948
"13161"	"MBD3L1"	0	1	1
"13162"	"MBD3L2"	0	1	1
"13163"	"MBD3L3"	0	1	1
"13164"	"MBD3L4"	0	1	1
"13165"	"MBD3L5"	0	1	1
"13166"	"MBD4"	0.252566	0.84265	0.99948
"13167"	"MBD5"	-1.14271	0.45225	0.99948
"13168"	"MBD6"	0.251655	0.8809	0.99948
"13169"	"MBIP"	2.14891	0.11535	0.806893
"13170"	"MBL1P"	0	1	1
"13171"	"MBL2"	0	1	1
"13172"	"MBLAC1"	3.56593	9e-04	0.0380125
"13173"	"MBLAC2"	-1.17681	1	1
"13174"	"MBNL1"	-0.397497	0.5394	0.99948
"13175"	"MBNL1-AS1"	-1.68512	1	1
"13176"	"MBNL2"	0.232296	0.91825	0.99948
"13177"	"MBNL3"	0.159179	0.9059	0.99948
"13178"	"MBOAT1"	-0.746112	0.56285	0.99948
"13179"	"MBOAT2"	0.77698	0.5999	0.99948
"13180"	"MBOAT4"	-797.519	1	1
"13181"	"MBOAT7"	0.420482	0.695	0.99948
"13182"	"MBP"	-0.552623	0.30615	0.99948
"13183"	"MBTD1"	-0.16538	0.87885	0.99948
"13184"	"MBTPS1"	0.459946	0.8005	0.99948
"13185"	"MBTPS2"	-0.804911	0.5486	0.99948
"13186"	"MC1R"	0.413542	0.66955	0.99948
"13187"	"MC2R"	-1.0269	1	1
"13188"	"MC3R"	0	1	1
"13189"	"MC4R"	0	1	1
"13190"	"MC5R"	-797.519	1	1
"13191"	"MCAM"	-1.02233	0.2881	0.99948
"13192"	"MCAT"	1.13586	0.362	0.99948
"13193"	"MCC"	1.52866	0.30545	0.99948
"13194"	"MCCC1"	0.606403	0.5606	0.99948
"13195"	"MCCC2"	0.427789	0.7994	0.99948
"13196"	"MCCD1"	6.53183	0.47585	0.99948
"13197"	"MCEE"	8.4921	0.0149	0.263561
"13198"	"MCEMP1"	-0.774576	0.1163	0.807996
"13199"	"MCF2"	-8.17474	1	1
"13200"	"MCF2L"	0.146189	1	1
"13201"	"MCF2L-AS1"	0	1	1
"13202"	"MCF2L2"	0.673171	1	1
"13203"	"MCFD2"	1.13386	0.3678	0.99948
"13204"	"MCHR1"	0	1	1
"13205"	"MCHR2"	-2.85458	1	1
"13206"	"MCHR2-AS1"	0	1	1
"13207"	"MCIDAS"	0	1	1
"13208"	"MCL1"	0.3541	0.44205	0.99948
"13209"	"MCM10"	1.04918	1	1
"13210"	"MCM2"	-0.561345	0.63315	0.99948
"13211"	"MCM3"	-0.202132	0.8665	0.99948
"13212"	"MCM3AP"	0.222181	0.72115	0.99948
"13213"	"MCM3AP-AS1"	0.395627	0.8613	0.99948
"13214"	"MCM4"	-0.258603	0.80505	0.99948
"13215"	"MCM5"	-0.0680418	0.95705	0.99948
"13216"	"MCM6"	0.196697	0.8613	0.99948
"13217"	"MCM7"	-1.02945	0.33305	0.99948
"13218"	"MCM8"	-1.11167	0.24445	0.991344
"13219"	"MCM8-AS1"	768.314	1	1
"13220"	"MCM9"	0.17622	0.88675	0.99948
"13221"	"MCMBP"	-0.0104607	0.9941	0.99948
"13222"	"MCMDC2"	-1.60275	1	1
"13223"	"MCOLN1"	-0.733486	0.62445	0.99948
"13224"	"MCOLN2"	-1.06006	0.26855	0.99948
"13225"	"MCOLN3"	1.37201	0.4081	0.99948
"13226"	"MCPH1"	-0.538112	0.6348	0.99948
"13227"	"MCPH1-AS1"	4.20213	0.05395	0.571326
"13228"	"MCRS1"	-0.538729	0.6273	0.99948
"13229"	"MCTP1"	0.648419	0.5094	0.99948
"13230"	"MCTP2"	-0.562882	0.561	0.99948
"13231"	"MCTS1"	-0.888798	1	1
"13232"	"MCTS2P"	3.84236	0.13545	0.845075
"13233"	"MCU"	0.0884094	0.9594	0.99948
"13234"	"MCUR1"	0.0944494	0.92925	0.99948
"13235"	"MDC1"	0.00450526	0.9741	0.99948
"13236"	"MDFI"	-0.263972	0.80025	0.99948
"13237"	"MDFIC"	-0.953732	0.57285	0.99948
"13238"	"MDGA1"	-0.79369	1	1
"13239"	"MDGA2"	-2.13343	1	1
"13240"	"MDH1"	0.329617	0.79885	0.99948
"13241"	"MDH1B"	-0.161795	0.9531	0.99948
"13242"	"MDH2"	0.797349	0.4684	0.99948
"13243"	"MDK"	-0.10906	0.9173	0.99948
"13244"	"MDM1"	-0.593774	0.5594	0.99948
"13245"	"MDM2"	-0.126199	0.843	0.99948
"13246"	"MDM4"	0.126352	0.8445	0.99948
"13247"	"MDN1"	-0.245883	0.83435	0.99948
"13248"	"MDP1"	-0.354642	0.865	0.99948
"13249"	"MDS2"	-1.13468	0.2212	0.97452
"13250"	"ME1"	1.24575	0.22125	0.97452
"13251"	"ME2"	-0.852149	0.36255	0.99948
"13252"	"ME3"	5.14559	0.08385	0.712455
"13253"	"MEA1"	0.0529994	0.9704	0.99948
"13254"	"MEAF6"	-0.0723569	0.9661	0.99948
"13255"	"MEAT6"	0	1	1
"13256"	"MECOM"	0.667081	0.4819	0.99948
"13257"	"MECP2"	0.573904	0.65565	0.99948
"13258"	"MECR"	-0.368767	0.7349	0.99948
"13259"	"MED1"	-0.0554278	0.90515	0.99948
"13260"	"MED10"	-1.08555	0.2353	0.987026
"13261"	"MED11"	-0.227664	0.9006	0.99948
"13262"	"MED12"	0.224036	0.6559	0.99948
"13263"	"MED12L"	-0.408345	1	1
"13264"	"MED13"	-0.174572	0.7993	0.99948
"13265"	"MED13L"	-0.192811	0.77425	0.99948
"13266"	"MED14"	-0.742745	0.7416	0.99948
"13267"	"MED14OS"	3.62811	1	1
"13268"	"MED15"	-0.587003	0.53825	0.99948
"13269"	"MED15P9"	0.757911	0.539	0.99948
"13270"	"MED16"	0.428204	0.67355	0.99948
"13271"	"MED17"	-0.295633	0.75865	0.99948
"13272"	"MED18"	-0.584874	0.58415	0.99948
"13273"	"MED19"	2.87569	0.0051	0.123966
"13274"	"MED20"	-1.26079	0.2529	0.994777
"13275"	"MED21"	3.0084	0.0282	0.393957
"13276"	"MED22"	0.514999	0.7129	0.99948
"13277"	"MED23"	0.252727	0.85515	0.99948
"13278"	"MED24"	-0.0642563	0.9481	0.99948
"13279"	"MED25"	2.11449	0.0687	0.648799
"13280"	"MED26"	-1.76535	0.16195	0.903068
"13281"	"MED27"	-1.07138	0.4226	0.99948
"13282"	"MED28"	-1.17334	0.5459	0.99948
"13283"	"MED29"	-0.774054	0.64965	0.99948
"13284"	"MED30"	768.314	1	1
"13285"	"MED31"	2.35547	0.27035	0.99948
"13286"	"MED4"	0.304324	0.7911	0.99948
"13287"	"MED4-AS1"	1.0512	1	1
"13288"	"MED6"	-1.29839	0.1715	0.923957
"13289"	"MED7"	-1.23522	0.36275	0.99948
"13290"	"MED8"	-0.283766	0.78185	0.99948
"13291"	"MED9"	0.429819	0.6166	0.99948
"13292"	"MEDAG"	-797.519	1	1
"13293"	"MEF2A"	-0.298931	0.8117	0.99948
"13294"	"MEF2B"	0.144576	1	1
"13295"	"MEF2BNB"	-2.57922	0.12445	0.818016
"13296"	"MEF2BNB-MEF2B"	15.5083	1	1
"13297"	"MEF2C"	-1.88745	0.0807	0.696723
"13298"	"MEF2C-AS1"	-0.532849	1	1
"13299"	"MEF2D"	0.171232	0.77675	0.99948
"13300"	"MEFV"	-1.12036	0.5586	0.99948
"13301"	"MEG3"	8.44467	5e-05	0.00458449
"13302"	"MEG8"	0	1	1
"13303"	"MEG9"	0	1	1
"13304"	"MEGF10"	1.89762	1	1
"13305"	"MEGF11"	3.66486	1	1
"13306"	"MEGF6"	-0.778637	0.5116	0.99948
"13307"	"MEGF8"	-0.665581	0.5569	0.99948
"13308"	"MEGF9"	0.432998	0.69625	0.99948
"13309"	"MEI1"	0.467484	1	1
"13310"	"MEI4"	0	1	1
"13311"	"MEIG1"	0	1	1
"13312"	"MEIKIN"	768.314	5e-05	0.00458449
"13313"	"MEIOB"	0	1	1
"13314"	"MEIS1"	1.29177	0.2651	0.99948
"13315"	"MEIS1-AS2"	3.2282	1	1
"13316"	"MEIS1-AS3"	3.60479	0.00025	0.015028
"13317"	"MEIS2"	0.255511	0.76925	0.99948
"13318"	"MEIS3"	-3.33648	1	1
"13319"	"MEIS3P1"	-0.139931	1	1
"13320"	"MELK"	-1.70947	0.0808	0.697171
"13321"	"MEMO1"	-1.17987	0.2364	0.988377
"13322"	"MEN1"	1.61064	0.21825	0.973457
"13323"	"MEOX1"	-797.519	1	1
"13324"	"MEOX2"	-797.519	1	1
"13325"	"MEOX2-AS1"	1.29391	1	1
"13326"	"MEP1A"	768.314	1	1
"13327"	"MEP1B"	0	1	1
"13328"	"MEPCE"	0.0836476	0.9479	0.99948
"13329"	"MEPE"	0	1	1
"13330"	"MERTK"	-0.252601	0.76775	0.99948
"13331"	"MESDC1"	-0.0637523	0.9712	0.99948
"13332"	"MESDC2"	-1.13849	0.3941	0.99948
